Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Average
2004,5.575,7.416666666666667,4.966666666666667,5.583333333333333,6.216666666666666,5.566666666666666,5.091666666666667,4.3,8.083333333333334,3.75,5.083333333333333,3.2916666666666665,4.866666666666666,6.175,5.3999999999999995,4.5249999999999995,5.508333333333333,5.5,5.7,4.658333333333333,4.616666666666666,5.108333333333333,6.95,4.583333333333333,6.158333333333334,5.875,4.508333333333334,3.908333333333333,4.458333333333333,3.8000000000000003,4.925,5.558333333333334,5.791666666666667,5.858333333333333,3.3833333333333333,6.25,4.708333333333333,7.341666666666666,5.358333333333333,5.25,7.441666666666666,3.608333333333334,5.3500000000000005,6.016666666666667,5.008333333333334,3.6750000000000003,4.083333333333333,6.3,5.766666666666667,4.9750000000000005,3.841666666666667,5.249346405228757
2005,4.458333333333333,6.933333333333334,4.666666666666667,5.258333333333334,5.383333333333333,5.075,4.8,4.508333333333334,6.991666666666667,2.875,5.683333333333334,2.8249999999999997,3.9916666666666667,5.716666666666666,5.391666666666667,4.291666666666667,5.066666666666666,5.875,7.058333333333334,4.891666666666667,4.4750000000000005,4.8,6.791666666666667,4.1,7.6000000000000005,5.3999999999999995,4.066666666666666,3.7583333333333333,4.125,3.625,4.441666666666666,5.183333333333334,4.958333333333333,5.6000000000000005,3.3083333333333336,5.933333333333334,4.325,6.191666666666666,4.983333333333333,5.108333333333333,7.291666666666667,3.5500000000000003,5.5249999999999995,5.458333333333333,4.041666666666667,3.4499999999999997,3.8249999999999997,5.591666666666666,5.425,4.741666666666666,3.5416666666666665,4.9599673202614385
2006,4.0,6.633333333333333,4.308333333333334,5.25,4.916666666666667,4.2749999999999995,4.425,3.908333333333333,6.325,2.466666666666667,5.075,2.5500000000000003,3.4250000000000003,4.6000000000000005,5.0,3.6999999999999997,4.425,5.7250000000000005,4.133333333333334,4.716666666666667,4.175,4.7,7.033333333333334,4.058333333333333,6.375,4.875,3.341666666666667,3.0416666666666665,4.066666666666666,3.533333333333333,4.616666666666666,4.233333333333333,4.533333333333333,5.133333333333334,3.1,5.416666666666667,3.9166666666666665,5.391666666666667,4.708333333333333,5.216666666666667,6.875,3.0,5.275,5.0,2.8666666666666667,3.716666666666667,3.341666666666667,5.0,5.2,4.675,3.0083333333333333,4.495751633986927
2007,4.041666666666667,6.258333333333333,3.75,5.391666666666667,5.308333333333334,3.6999999999999997,4.45,3.608333333333333,5.95,3.3000000000000003,4.908333333333333,2.725,3.025,5.066666666666666,4.625,3.716666666666667,4.233333333333333,5.366666666666667,4.091666666666667,4.691666666666666,3.733333333333334,4.516666666666667,7.083333333333333,4.583333333333333,6.1499999999999995,5.083333333333333,3.358333333333333,2.9250000000000003,4.591666666666667,3.525,4.208333333333333,3.591666666666667,4.433333333333334,5.091666666666667,3.016666666666667,5.608333333333333,3.966666666666667,5.158333333333333,4.558333333333334,5.108333333333333,6.066666666666666,2.8249999999999997,4.633333333333334,4.366666666666666,2.558333333333333,3.9416666666666664,3.283333333333333,4.6000000000000005,4.825,4.825,2.6916666666666664,4.374836601307188
2008,5.883333333333333,6.4750000000000005,5.791666666666667,5.441666666666666,7.3,4.875,5.6499999999999995,5.033333333333333,6.8500000000000005,5.691666666666666,6.783333333333334,4.033333333333333,5.033333333333333,6.508333333333333,5.941666666666666,4.183333333333334,4.608333333333333,6.5249999999999995,4.666666666666667,5.3999999999999995,4.5249999999999995,5.333333333333333,8.216666666666667,5.433333333333334,6.708333333333333,6.216666666666666,4.7250000000000005,3.2583333333333333,6.883333333333333,3.766666666666666,5.45,4.3,5.408333333333334,6.208333333333333,3.108333333333333,6.6000000000000005,3.6166666666666667,6.2749999999999995,5.3500000000000005,7.6000000000000005,7.291666666666667,3.0833333333333335,6.516666666666667,4.866666666666666,3.341666666666667,4.566666666666666,4.2749999999999995,5.291666666666667,4.75,4.983333333333333,2.9333333333333336,5.363888888888889
2009,10.083333333333334,7.983333333333333,9.666666666666666,7.7250000000000005,11.541666666666666,7.875,8.325000000000001,8.341666666666667,10.0,9.558333333333334,10.408333333333333,6.658333333333334,8.708333333333334,10.183333333333334,10.433333333333334,6.3999999999999995,6.891666666666667,10.766666666666666,6.791666666666667,8.391666666666667,7.55,8.075000000000001,13.133333333333333,7.908333333333334,9.358333333333333,9.025,7.116666666666667,4.658333333333333,11.725,6.141666666666667,8.933333333333334,7.05,8.366666666666667,11.033333333333333,3.9166666666666665,10.141666666666667,6.558333333333334,10.791666666666666,7.974999999999999,11.391666666666666,11.408333333333333,4.583333333333333,10.116666666666667,7.541666666666667,7.258333333333333,6.166666666666667,6.833333333333333,8.266666666666667,8.299999999999999,8.958333333333334,6.258333333333333,8.495588235294116
2010,10.375,8.133333333333333,10.299999999999999,7.858333333333333,12.458333333333334,9.141666666666667,9.558333333333334,8.658333333333333,9.950000000000001,10.825000000000001,10.658333333333333,6.825,8.758333333333333,10.466666666666667,10.083333333333334,6.116666666666667,6.933333333333334,10.266666666666667,7.516666666666667,8.416666666666666,7.825,8.058333333333334,12.191666666666668,7.391666666666667,10.083333333333334,9.508333333333333,7.183333333333334,4.7,13.733333333333334,6.083333333333333,9.658333333333333,7.7749999999999995,8.716666666666667,10.716666666666667,3.6916666666666664,10.266666666666667,6.5,10.691666666666668,8.166666666666666,11.625,11.299999999999999,4.908333333333334,9.825000000000001,8.191666666666666,7.933333333333334,6.316666666666666,7.291666666666667,9.133333333333333,8.633333333333333,8.5,6.941666666666666,8.761601307189542
2011,9.583333333333334,7.733333333333333,9.433333333333334,7.908333333333334,11.891666666666666,8.691666666666666,9.016666666666667,7.608333333333333,10.191666666666666,10.0,10.158333333333333,6.833333333333333,8.166666666666666,9.758333333333333,8.908333333333333,5.6499999999999995,6.383333333333333,9.375,7.433333333333334,7.7250000000000005,7.316666666666666,7.2250000000000005,10.008333333333333,6.5249999999999995,9.775,8.641666666666667,6.625,4.3999999999999995,13.316666666666668,5.45,9.375,7.216666666666666,8.358333333333333,10.233333333333333,3.358333333333333,8.816666666666666,5.591666666666666,9.608333333333333,7.741666666666667,11.016666666666666,10.45,4.6000000000000005,9.108333333333333,8.016666666666667,7.058333333333334,5.566666666666666,6.541666666666667,8.525,7.825,7.533333333333332,6.133333333333333,8.125653594771242
2012,8.158333333333333,7.25,8.35,7.266666666666667,10.525,8.0,8.358333333333334,7.066666666666666,8.975,8.666666666666666,9.041666666666666,5.8999999999999995,7.3999999999999995,9.049999999999999,8.225,5.058333333333334,5.716666666666666,8.2,6.766666666666667,7.191666666666666,6.866666666666667,6.7,9.058333333333334,5.6499999999999995,8.825000000000001,7.191666666666666,5.8,3.8833333333333333,11.608333333333334,5.466666666666666,9.383333333333335,6.966666666666666,8.625,9.516666666666667,2.9333333333333336,7.408333333333334,5.116666666666666,8.808333333333334,7.658333333333334,10.216666666666667,9.033333333333333,4.058333333333333,7.958333333333333,6.708333333333333,4.7749999999999995,4.816666666666667,5.95,7.641666666666667,7.258333333333333,6.925,5.5,7.323039215686275
2013,7.325,6.991666666666667,7.816666666666666,7.041666666666667,9.033333333333333,6.75,7.95,6.608333333333333,8.433333333333334,7.533333333333334,8.141666666666667,4.758333333333334,6.816666666666666,9.075000000000001,7.5,4.7250000000000005,5.3,7.916666666666667,6.416666666666667,6.683333333333334,6.516666666666667,6.641666666666667,8.725,5.041666666666667,8.491666666666665,6.7749999999999995,5.341666666666666,3.6750000000000003,9.966666666666667,5.25,8.375,6.908333333333334,7.791666666666667,7.733333333333333,2.891666666666666,7.458333333333333,5.116666666666666,7.75,7.1000000000000005,9.475,7.425,3.6999999999999997,7.7250000000000005,6.3,4.208333333333333,4.416666666666667,5.55,6.633333333333333,6.716666666666666,6.641666666666667,4.733333333333333,6.742973856209149
