Date,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missour,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2018-01-01,20328553.0,223721.9,54467.1,347792.7,127737.0,2838125.2,370594.8,278908.8,71458.3,138484.0,1057137.2,599573.7,89640.3,77688.8,860328.8,373169.9,191722.4,170514.9,207400.7,252420.4,65348.5,406467.4,550956.5,522716.0,366241.6,112271.1,315820.8,50494.4,127375.1,170031.9,83516.6,610811.6,96751.9,1685061.0,560378.8,59063.5,662547.2,200235.1,235121.2,771274.5,59580.5,232511.4,53793.3,365351.9,1766113.2,181469.0,33266.6,529552.9,557257.6,77876.4,332427.8,38959.2
2018-04-01,20580912.0,225456.8,54586.0,351351.1,128619.9,2885427.0,372029.5,278608.0,72457.0,140581.1,1064630.4,608919.8,90932.7,78714.6,868082.1,376009.0,193407.1,172657.1,210485.9,256234.9,66150.9,410619.6,558295.7,526112.5,371105.6,113573.1,320445.8,51099.6,127287.9,171429.5,83699.8,616691.3,98534.5,1709064.1,567930.2,60275.1,668721.4,203209.0,237254.1,778058.5,59961.9,235893.7,53214.2,368418.4,1802316.0,185631.2,33546.1,535461.5,565909.8,79523.9,333086.1,39483.5
2018-07-01,20798730.0,226629.9,55060.6,356079.0,129805.5,2925403.0,374311.3,283245.7,74357.7,142944.1,1080107.6,618538.1,91277.8,79419.8,875507.8,379145.9,193707.6,174817.2,211074.7,258018.0,66688.3,412188.3,562693.9,526716.6,375331.4,113370.5,321869.5,51264.8,127711.9,172867.2,84112.9,622280.0,99560.9,1726363.4,569444.8,61275.6,676170.7,205753.9,239773.6,785318.6,59978.7,237590.5,53192.5,372344.7,1825684.1,188803.0,33508.1,540687.9,577256.7,80953.1,336162.9,39934.6
2018-10-01,20917867.0,229246.5,54934.0,359461.1,130692.8,2949168.2,378756.7,281379.1,75231.3,142951.5,1086467.2,624182.0,91883.3,80466.2,880178.1,381182.7,193783.2,175502.8,213075.2,259104.5,66676.2,413811.8,566474.0,525418.0,377078.3,113451.0,323670.5,51749.4,129442.7,175863.2,84108.4,627577.8,100505.5,1722174.0,574395.4,60894.1,682721.3,207577.5,241718.8,787831.0,60738.4,240251.1,53198.1,372737.9,1837994.3,191319.7,33609.6,542930.9,580927.0,80823.9,338900.4,40080.6
2019-01-01,21111600.0,231258.9,54034.3,363813.7,130559.9,2987644.2,386187.3,281551.6,76626.4,142596.3,1109880.6,632296.4,92447.2,82037.6,883267.4,378363.3,193155.4,172578.6,215996.0,258051.9,67642.3,411432.0,576212.5,528735.5,377433.0,113694.1,327037.8,51861.5,129089.4,180191.7,87041.5,633477.0,101218.1,1751254.9,580014.4,60522.8,688949.6,205308.2,243887.8,789025.9,61970.5,244175.7,53537.6,378669.1,1833669.0,197624.6,34244.0,550280.4,596493.3,79583.3,340604.7,39383.6
2019-04-01,21397938.0,233386.0,54126.1,370964.5,131390.8,3047883.1,394703.4,284597.2,78302.7,144106.2,1123239.0,642604.4,92585.0,83402.3,892600.5,382924.7,194474.0,175952.4,219250.6,257556.6,68673.7,417564.8,583353.9,536296.1,382033.9,114835.6,331896.9,52162.1,130856.1,182726.4,87416.5,639395.6,103152.3,1783815.5,587013.3,61250.8,698585.6,205672.3,246088.1,798450.0,62495.9,246576.5,54384.3,382211.4,1854387.9,198390.0,34386.4,556064.0,603174.9,80123.6,345341.5,39711.0
2019-07-01,21717171.0,236371.8,54946.3,380142.1,133458.5,3096476.8,404317.5,287863.7,79718.4,145891.9,1142934.0,653443.6,93727.1,85400.2,905057.7,387655.0,197911.3,177174.2,222144.0,257870.6,70533.6,422477.4,593435.4,545306.7,388345.0,116948.5,338037.3,53275.5,134020.7,186118.5,88411.5,648153.3,105087.5,1798133.1,596962.5,61015.7,709107.5,207037.2,250352.3,807566.4,62956.2,251829.1,55900.2,389092.6,1878886.8,203722.0,35111.7,567855.3,613664.4,80667.5,348289.7,40296.5
2019-10-01,21933217.0,238176.2,55091.6,386586.3,135094.0,3142514.6,406166.1,291795.0,80194.7,147691.3,1158818.5,658438.8,94201.5,86877.3,901481.8,390411.9,199509.2,178569.9,225324.4,256516.9,71985.3,426092.4,599276.3,550610.8,391588.8,119064.5,342028.6,53563.2,137426.7,189407.8,88603.2,652244.7,105826.1,1816680.1,605808.5,60780.9,715016.4,205953.2,254799.0,813890.0,63836.1,255721.6,56880.9,393358.8,1892545.3,205512.2,35299.1,572607.3,621241.1,80595.1,353390.6,40726.8
2020-01-01,21727657.0,237604.9,53691.9,385783.8,135091.2,3118522.7,406111.1,283402.3,78724.7,148048.2,1152589.9,651033.5,92056.9,87537.4,881179.2,385012.5,198558.6,180921.9,223685.3,246506.2,72051.2,417643.2,603791.0,543191.4,386920.7,118525.9,338520.7,52539.2,135003.7,187113.9,89888.6,651662.7,104420.7,1821606.8,606514.5,58926.8,704171.2,199294.6,255672.7,799743.2,63573.8,249507.6,56510.9,399791.9,1840874.8,204204.3,35516.6,570688.2,619251.6,79689.4,347083.0,39282.1
2020-04-01,19935444.0,219394.4,47521.3,365814.5,128661.4,2871237.9,371324.1,260540.2,73674.4,141009.0,1066451.9,600006.9,79432.3,81253.5,808786.1,347718.3,187991.7,165847.6,201762.5,220775.9,67504.0,392342.0,554664.2,479373.9,355853.5,108198.5,312942.2,49052.8,126547.0,157578.6,81604.8,583162.8,93746.6,1660253.4,562709.9,51652.8,642125.5,179094.2,236860.2,718228.4,57562.0,234132.1,52551.6,356990.2,1676440.7,194979.4,31693.8,536248.4,584351.8,71126.8,322613.6,33850.2
