Date,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2004-01-01,160797.1597589127,112219.6336179608,185288.9757564351,166447.55273570304,101500.86988411203,319402.8465670056,221538.34790387852,237953.51957814358,198004.90418676904,267767.68581969995,155427.81194398765,147929.9824285426,280371.9209905357,136192.8469042395,170199.05899551717,106761.76284503176,108245.38957933673,102182.01671368458,100888.032981493,125727.52985365747,163537.0147448573,219951.51888236706,317291.95545577153,141197.62547609993,186891.10204281894,100153.623510346,124356.06597569857,,118552.24308812963,205762.18643890694,215066.25869103335,267494.4533709102,140610.89211169447,218845.57106479738,142256.09681102293,,123084.75929361768,94868.68399706994,179862.14089826963,127778.33602608256,229652.6846645629,129678.10804333148,120185.96793487437,122370.95586407802,120648.20490981107,179732.23306831953,157279.91046193,177030.5443965301,211270.55035484303,87011.5604055072,150470.0239323201,153174.77683739757
2004-02-01,161841.21586857957,112475.25648474123,185888.90961096392,167310.45915156894,101954.71997215581,324146.8215121268,221826.8388350601,239665.3679790865,199436.22897872026,270696.30347803776,156823.15463698635,148234.65640100578,284559.14687862364,136658.04193921603,171087.44882066987,106877.1418032011,108487.27726099391,102387.63992450004,101134.72881545953,126248.75786956372,165359.5712220754,222275.21114341368,319583.9140378369,141597.43673221185,188015.6151668857,100360.8537329277,124847.2621117923,,119057.66881338361,209145.06561574506,216730.43565033053,269847.29874803853,141335.320787476,220485.9563343966,142577.67345785798,,123408.70302139966,95170.66433183564,180687.494136491,128586.01367111068,232631.58919676216,130110.59032220305,120632.29331658284,122691.43705844403,121464.40173271585,180021.36181861648,158621.08961843626,178775.62995780748,212528.93636606738,87530.71377712635,151247.05090993727,153651.89041894238
2004-03-01,162993.07550829233,112761.57136028534,186314.67893016894,168360.18461383064,102476.54519364255,329557.8544187334,222163.02844475769,241302.41839561277,200917.83927789785,274196.514717944,158351.900816544,148529.8020223029,289207.42713624274,137195.86527537918,172003.83061633,107024.00748181522,108708.4994508443,102725.63889742544,101353.9617513849,126833.34081304452,167269.96982084014,224614.32770281343,321964.3044106884,141981.64989344784,189116.82552711968,100640.95794854812,125221.23500094848,,119613.04132275825,213948.88816565927,218485.34406751022,272442.2656323235,141886.7059980446,221860.95483225107,142865.42120152822,,123737.88959232591,95457.99336727666,181652.7708995729,129397.71354892162,235466.5944936962,130566.62777592328,121215.62426863075,123046.47371214857,122756.44068539942,180352.42764713804,160063.02106474587,180806.66836798238,213852.1097227957,88146.44110286732,152046.62025802335,154282.14475914495
2004-04-01,164280.75775533018,113054.06462528813,187413.87773911547,169635.82869799182,103054.1259001572,335769.5943424572,222659.2342698922,243290.53783743817,202738.6909279218,277667.6928583701,160095.0819828141,148927.27780136545,294483.20356332994,137819.68452518783,173025.12976718685,107162.37535010744,108985.92129062914,103303.15040633174,101537.04271634354,127411.30466853983,169079.94681634847,227352.55261928184,324603.0103488764,142257.76269490633,190376.91685141044,100913.44425732695,125530.98414288533,,120138.57191898175,219156.46645122755,220400.11318085794,275249.9407371889,142424.01190073113,223227.42597185436,143163.10898240612,,124061.28768053168,95730.31202161133,182866.88437723913,130299.39245360372,238452.00089196293,131012.68798830795,121712.22277455666,123445.47363891284,124038.61672305346,180748.58102732096,161628.56856928425,183238.11742408978,215384.66892109477,88694.11986589809,152993.53659183418,155129.97329115748
2004-05-01,165730.74721425833,113414.76251862412,188606.9568665647,171189.4002412051,103595.8164189637,342921.8912297254,223306.14079033665,245758.1716204141,204928.59240759953,281799.9632452197,162135.8626834026,149368.4351084484,299777.0939496763,138513.16086832926,174169.1696182145,107478.71529465863,109321.88619554353,103904.17650295967,101735.41051712325,127915.77980294211,171282.22589044037,230480.00475355508,327300.08408693195,142614.1244085928,191711.52119022133,101193.92871777929,125948.76708997732,,120738.1598560426,225701.6206655438,222572.39912602134,278537.0770233529,143044.54196358344,224835.7525635295,143461.5963047487,,124400.7644300012,95991.80998623489,184378.7326397172,131360.63820307827,241672.62080361764,131574.26557680927,122297.21576350501,123848.88326993048,125098.15404601878,180965.12021248884,163594.55805656122,186149.92275050367,217352.12017287943,89203.66589562228,154194.5337670695,156297.30687578072
2004-06-01,167309.84408770772,113866.3013410616,190030.84025026867,172930.4084361268,104136.89298432687,350903.95812823164,223987.42058946635,248590.71316418456,207594.419926779,286286.14785065985,164450.8374856517,149812.54392543042,306402.00643005804,139319.7996782109,175489.47199426,107872.24077366327,109705.85747079413,104397.77168423112,101976.41776290369,128472.17467466877,173767.23406067197,234314.05305812717,329855.4331932676,142993.04680642436,193190.1697114231,101452.74912599592,126462.71520535993,,121288.43528065066,232698.9202529523,224888.33954432307,282120.56477113697,143925.59747053075,226820.04574801703,143825.15533990331,,124755.34055219007,96251.5235141461,186066.00272440285,132613.33553764087,245458.86916157798,132210.6383383295,123075.69711706061,124273.96411419455,125778.19782146926,181188.12108001602,165734.7562491507,189470.87447249304,219641.9340860274,89690.45514196262,155601.39198199273,157735.25718181705
2004-07-01,169011.4685828704,114404.25511854365,191532.98479888437,,104660.87154338905,359064.5726179964,224613.4137967329,251503.15672004633,210356.25221594446,291552.067548278,167022.65202981688,150240.80685931604,313679.09923493507,140208.85654031156,176764.27745548767,108322.06438721449,110088.49052202131,104701.72362018342,102290.70929435622,129033.8927917847,176506.4143071624,238597.71512094117,332435.35803258576,143440.0638393486,194602.56394767726,101757.26485033608,127100.31421667068,,121909.98379500907,242021.3401673071,226935.12203353035,285961.70740172523,144984.61787416213,229051.5647075508,144210.19059333767,,125153.55248173128,96514.7130723856,187970.2068477462,134083.93202685143,249470.38377144816,132970.6243681324,124133.55894935569,124735.06079575593,126413.88148706562,181396.85325198932,167751.8606528476,193239.45778326096,221965.42704934021,90316.06106704315,157182.0740837941,159239.9003852035
2004-08-01,170737.57381109902,114916.0171653132,192912.36427200589,177686.74123298153,105210.0692321842,366852.67319610127,225182.54611899387,254292.17242163702,213087.91499065465,296552.1748770262,169854.87059274284,150731.6522299563,321032.21487095417,141058.95841444735,178172.1302739069,108736.3470112235,110502.23695416108,105041.75440041708,102598.55529532397,129794.17641747576,178390.16357621635,243316.5237420696,335068.07985619205,143902.69671837185,195874.16249637064,102150.89602320148,127682.40659572887,,122435.81985500338,250860.5346023183,228890.20013349794,289946.2852957085,145940.64148941368,231347.22092386687,144629.78987078613,,125527.53817248736,96832.0025571501,189854.6745575768,135520.83379014896,253193.86471890812,133671.7311679848,125074.22299225966,125231.10908294673,126992.09798449016,181625.59546053442,169142.62613469313,197203.85368029785,224206.5518204548,90989.1264853874,158531.0696802758,160767.83027920636
2004-09-01,172441.82116242548,115385.76560485347,194573.1784809775,180210.96478547758,105772.91651770362,374228.27852588776,225526.85748395277,256995.24005345764,215653.9594147952,302261.7958251951,172730.81178662714,151267.6107222281,327224.03510502813,141802.3230971505,179539.54695483999,109036.05746240448,110890.27706187795,105946.43436753393,102902.38740976725,130494.48960035236,179849.8626200522,248002.50000316705,338171.1524609526,144356.7264080596,197067.68960582113,102673.82247634121,128184.87071942753,,122813.86787567304,260782.2636078653,230716.01709694773,293881.9432843668,146668.3457386777,233764.20508320062,145079.76829348065,,125888.52925779852,97219.7087165399,191669.31825906574,136955.70874831695,256330.5563157335,134406.4447179004,125909.49376287927,125751.25201148614,127644.98376694789,181798.63526416142,170366.15218784846,201173.9276757977,226295.6018547955,91658.65745072802,159765.3316632212,162193.50888666292
2004-10-01,174074.97638900162,115868.97854301461,196265.95517752072,182814.1022072461,106329.63669731207,381311.9522694226,225888.77868761434,259926.66328845383,218413.25653458768,309052.0852840112,175493.6444304452,151841.7717710502,332952.60692846513,142443.2786547081,181022.96321033887,109411.35877230829,111290.92119968512,107067.64073035966,103237.02096243587,131193.2040175311,181014.09234828723,252307.46695295535,341269.3136148584,144844.25573063214,198160.14843005725,103289.2595733176,128644.46918846527,,123081.28514822449,268545.9917996332,232559.79535286766,297754.7244010956,147309.43415079798,236139.2782836795,145567.98047589374,,126229.28715543495,97642.89423006018,193366.78460021733,138205.3832675894,259492.42252078187,135159.25296642547,126614.60844768095,126294.62511996638,128252.44019388575,181911.31250619955,171803.94428776,204699.8535133721,228329.9721099344,92284.4825619685,160862.88678843688,163463.7717287653
