Date,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2016-07-01,527576.0,7756.0,1224.0,12196.0,4376.0,47100.0,13240.0,5688.0,1848.0,42536.0,18700.0,1780.0,4532.0,19576.0,10640.0,4708.0,4424.0,5792.0,5480.0,2900.0,10100.0,8864.0,17464.0,11768.0,3332.0,10328.0,2076.0,2492.0,5556.0,2724.0,15680.0,3416.0,19320.0,17380.0,920.0,17472.0,6092.0,8516.0,17828.0,1568.0,8976.0,1172.0,11528.0,39148.0,5804.0,1456.0,13760.0,13136.0,1988.0,9276.0,1292.0
2016-08-01,470780.0,6882.0,1082.0,12218.0,3954.0,45164.0,12522.0,4924.0,1774.0,41430.0,17080.0,1734.0,4148.0,17858.0,9850.0,4458.0,4042.0,5474.0,4942.0,2622.0,9226.0,8218.0,14640.0,10262.0,3302.0,9446.0,1718.0,2372.0,5580.0,2466.0,13296.0,3122.0,16990.0,16048.0,1010.0,16024.0,5832.0,8182.0,16564.0,1598.0,8500.0,1100.0,11270.0,34468.0,5840.0,1372.0,12936.0,12966.0,2046.0,8210.0,1114.0
2016-09-01,452994.0,6674.0,898.0,12886.0,3798.0,41326.0,10848.0,5476.0,2154.0,40684.0,16564.0,1558.0,3412.0,17256.0,9144.0,4138.0,3772.0,5216.0,4780.0,2352.0,9382.0,9958.0,13060.0,9414.0,2860.0,8936.0,1522.0,2206.0,5166.0,2482.0,14856.0,2624.0,17562.0,16314.0,944.0,14134.0,5448.0,6970.0,17836.0,1524.0,8228.0,1014.0,10436.0,31578.0,5036.0,1072.0,12786.0,10688.0,1734.0,7196.0,930.0
2016-10-01,413376.0,6096.0,788.0,13464.0,3776.0,39896.0,9768.0,4892.0,1592.0,40220.0,15692.0,1788.0,2904.0,15252.0,8524.0,3896.0,3500.0,4888.0,5132.0,2016.0,8928.0,8396.0,12316.0,8440.0,2820.0,8384.0,1552.0,2124.0,4772.0,1768.0,11916.0,2572.0,16028.0,13948.0,852.0,14020.0,4972.0,6032.0,15316.0,1288.0,7276.0,860.0,9744.0,30980.0,4692.0,804.0,11100.0,9704.0,1848.0,6596.0,896.0
2016-11-01,376704.0,5332.0,600.0,12174.0,3464.0,34064.0,8064.0,3926.0,1378.0,41930.0,13854.0,1704.0,2482.0,12820.0,7334.0,3344.0,3086.0,4168.0,4278.0,1608.0,7602.0,6170.0,10298.0,6076.0,2460.0,7380.0,1102.0,1810.0,4318.0,1626.0,10602.0,2224.0,13916.0,12504.0,614.0,11936.0,4668.0,4854.0,12946.0,1138.0,7226.0,726.0,9116.0,27726.0,4300.0,670.0,9626.0,6606.0,1556.0,6658.0,686.0
2016-12-01,281556.0,4912.0,488.0,10160.0,2960.0,23476.0,5852.0,3140.0,1004.0,36888.0,10328.0,1608.0,1844.0,8684.0,5036.0,2292.0,2012.0,3484.0,3732.0,1188.0,5728.0,3872.0,7160.0,3732.0,1916.0,5208.0,824.0,1184.0,3552.0,1184.0,8768.0,1900.0,9920.0,10400.0,456.0,8476.0,3808.0,3500.0,9432.0,764.0,5808.0,460.0,6792.0,23588.0,2504.0,564.0,8048.0,5624.0,1128.0,3136.0,540.0
2017-01-01,387198.0,6444.0,702.0,13392.0,3854.0,33748.0,7610.0,4264.0,1438.0,48090.0,15320.0,1766.0,1918.0,14406.0,6658.0,3182.0,2994.0,4576.0,4856.0,1440.0,7294.0,5690.0,9260.0,5618.0,2882.0,6786.0,1098.0,1518.0,4580.0,1502.0,12346.0,2364.0,14308.0,13430.0,666.0,11284.0,5022.0,4148.0,12936.0,1102.0,8086.0,640.0,8786.0,30662.0,3840.0,770.0,10094.0,6838.0,1410.0,4936.0,740.0
2017-02-01,437752.0,7272.0,766.0,14490.0,4336.0,37180.0,9238.0,4880.0,1728.0,48218.0,16990.0,1866.0,2656.0,19054.0,8078.0,3910.0,3838.0,4892.0,4894.0,1526.0,8638.0,6422.0,10452.0,7948.0,3232.0,9172.0,1342.0,1946.0,4930.0,1596.0,14396.0,2602.0,18702.0,16146.0,690.0,12956.0,5780.0,5688.0,15010.0,674.0,9178.0,794.0,9820.0,34000.0,4508.0,848.0,13214.0,7524.0,1716.0,6400.0,796.0
2017-03-01,509090.0,7862.0,1040.0,15272.0,4278.0,42852.0,11736.0,5974.0,1844.0,48126.0,19702.0,2028.0,3630.0,21762.0,9674.0,4708.0,4566.0,5708.0,5658.0,2082.0,11330.0,8910.0,13200.0,10766.0,3334.0,10354.0,1704.0,2470.0,5708.0,2360.0,16040.0,3046.0,19356.0,18348.0,976.0,15930.0,6308.0,6804.0,17776.0,1552.0,10538.0,1086.0,11126.0,40378.0,5508.0,946.0,15792.0,9928.0,1986.0,8492.0,984.0
2017-04-01,555248.0,8080.0,1284.0,14640.0,4476.0,46964.0,12132.0,6920.0,2016.0,47008.0,20356.0,2020.0,4196.0,22328.0,10600.0,5268.0,4628.0,5916.0,5832.0,2652.0,11816.0,11212.0,14552.0,11992.0,3312.0,11164.0,2296.0,2656.0,5944.0,2824.0,16748.0,3348.0,23968.0,18460.0,1168.0,17304.0,6184.0,7788.0,20592.0,1780.0,9524.0,1260.0,11608.0,40336.0,6088.0,1100.0,16912.0,11352.0,2036.0,10040.0,1200.0
