Date,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2004-01-01,44330.0,36630.0,55060.0,43850.0,34980.0,49220.0,50890.0,55100.0,48050.0,43450.0,40540.0,40980.0,56240.0,44360.0,46080.0,42330.0,43390.0,41070.0,35610.0,36430.0,41330.0,57100.0,52020.0,42260.0,56100.0,34760.0,42140.0,33960.0,43790.0,47200.0,56820.0,55280.0,39560.0,44650.0,40240.0,39220.0,43060.0,39610.0,40990.0,44110.0,47940.0,38690.0,41110.0,38070.0,41400.0,50870.0,47330.0,51140.0,49920.0,33370.0,45730.0,45400.0
2005-01-01,46330.0,37150.0,55890.0,45250.0,36660.0,51760.0,50450.0,56840.0,51240.0,44990.0,42990.0,45930.0,59590.0,44180.0,48400.0,42440.0,46500.0,42030.0,36700.0,37240.0,43920.0,60510.0,56020.0,45930.0,54220.0,32880.0,42990.0,37310.0,47920.0,48210.0,56980.0,63370.0,38950.0,47180.0,42060.0,42190.0,44200.0,37650.0,44160.0,46300.0,49480.0,40230.0,43150.0,39410.0,41420.0,54810.0,50700.0,51910.0,50650.0,36450.0,44650.0,44720.0
2006-01-01,48200.0,37950.0,56420.0,46660.0,37060.0,55320.0,55700.0,62400.0,52440.0,48480.0,45680.0,49340.0,60470.0,46210.0,48670.0,45410.0,48130.0,45550.0,39490.0,36490.0,45640.0,63670.0,55330.0,48650.0,56210.0,34730.0,44580.0,41110.0,48150.0,52280.0,61970.0,68060.0,40030.0,48220.0,39800.0,41050.0,45900.0,38840.0,47090.0,48480.0,53740.0,39620.0,45430.0,40690.0,43310.0,54630.0,51980.0,57120.0,54720.0,38420.0,51690.0,47040.0
2007-01-01,50230.0,42210.0,62990.0,47220.0,40800.0,55730.0,61140.0,64140.0,54590.0,50780.0,45790.0,48640.0,64020.0,49180.0,52510.0,47450.0,48910.0,48500.0,39450.0,41310.0,47890.0,65630.0,58460.0,49370.0,58060.0,37280.0,46010.0,43660.0,49170.0,54060.0,67580.0,60510.0,44360.0,48940.0,43510.0,47210.0,49100.0,43220.0,50240.0,48440.0,54210.0,44210.0,46420.0,41200.0,46050.0,53530.0,47390.0,59160.0,58080.0,42090.0,51280.0,48740.0
2008-01-01,50300.0,44480.0,63990.0,46910.0,39590.0,57010.0,60940.0,64680.0,50700.0,55590.0,44860.0,46230.0,61520.0,47420.0,53250.0,46520.0,50140.0,47880.0,41150.0,39560.0,47230.0,63710.0,60320.0,49790.0,54930.0,36450.0,46040.0,42900.0,50730.0,54740.0,66180.0,65310.0,42100.0,50460.0,42930.0,49630.0,46930.0,46110.0,51730.0,51400.0,53240.0,42160.0,51600.0,39700.0,46490.0,62540.0,50710.0,61990.0,56630.0,37990.0,51200.0,53340.0
2009-01-01,49780.0,39980.0,61600.0,45740.0,36540.0,56130.0,55930.0,64850.0,52110.0,53140.0,45630.0,43340.0,55650.0,46780.0,52870.0,44310.0,50720.0,44720.0,42660.0,45430.0,47500.0,64190.0,59370.0,45990.0,56090.0,35080.0,48770.0,40440.0,49600.0,51430.0,64130.0,64780.0,43540.0,50220.0,41910.0,50080.0,45880.0,45880.0,49100.0,48170.0,51630.0,41100.0,45830.0,40520.0,47480.0,58490.0,52320.0,60500.0,60390.0,40490.0,51240.0,52470.0
2010-01-01,49280.0,40930.0,57850.0,46900.0,38590.0,54280.0,60230.0,66000.0,55210.0,56930.0,44070.0,44120.0,59540.0,47050.0,50730.0,46140.0,49020.0,46050.0,41100.0,39300.0,47930.0,64200.0,60930.0,46280.0,52320.0,38160.0,45820.0,41280.0,52500.0,51200.0,66630.0,62970.0,45130.0,49780.0,43830.0,51010.0,45890.0,43100.0,50600.0,48310.0,51620.0,41700.0,45350.0,38590.0,47270.0,56700.0,55930.0,60370.0,56160.0,42780.0,50350.0,52200.0
2011-01-01,50050.0,42590.0,57430.0,48620.0,41300.0,53370.0,58630.0,65420.0,54660.0,55250.0,45110.0,45970.0,59050.0,47460.0,50640.0,44450.0,50220.0,46150.0,39860.0,40660.0,49690.0,68880.0,63310.0,48880.0,57820.0,41090.0,45770.0,40280.0,55620.0,47040.0,65880.0,62340.0,41980.0,50640.0,45210.0,56360.0,44650.0,48460.0,51530.0,49910.0,49030.0,40080.0,47220.0,42280.0,49050.0,55490.0,51860.0,62620.0,56850.0,41820.0,52060.0,54510.0
2012-01-01,51020.0,43460.0,63650.0,47040.0,39020.0,57020.0,57260.0,64250.0,48970.0,65250.0,46070.0,48120.0,56260.0,47920.0,51740.0,46160.0,53440.0,50000.0,41090.0,39090.0,49160.0,71840.0,63660.0,50020.0,61800.0,36640.0,49760.0,45090.0,52200.0,47330.0,67820.0,66690.0,43420.0,47680.0,41550.0,55770.0,44380.0,48410.0,51780.0,51900.0,56070.0,44400.0,49420.0,43000.0,51930.0,58340.0,55580.0,64630.0,62190.0,43550.0,53080.0,57510.0
2013-01-01,53590.0,47320.0,72470.0,52610.0,39380.0,60790.0,67910.0,69290.0,54090.0,60060.0,48530.0,46990.0,64240.0,48470.0,53940.0,49460.0,60160.0,47820.0,44880.0,46430.0,54960.0,69350.0,62530.0,56570.0,64320.0,32340.0,46300.0,43200.0,57620.0,51850.0,69100.0,63750.0,40170.0,49970.0,46340.0,59150.0,50750.0,46160.0,49000.0,55160.0,56320.0,43560.0,53410.0,43360.0,51410.0,61050.0,65510.0,65910.0,63920.0,43070.0,51730.0,67440.0
2014-01-01,53660.0,42280.0,67630.0,49250.0,44920.0,60490.0,60940.0,70160.0,57520.0,68280.0,46140.0,49560.0,71220.0,53440.0,54920.0,48060.0,57810.0,53440.0,42790.0,42410.0,51710.0,76170.0,63150.0,52010.0,67240.0,35520.0,56630.0,51100.0,56870.0,49880.0,73400.0,65240.0,46690.0,54310.0,46780.0,60730.0,49640.0,47200.0,58880.0,55170.0,58630.0,44930.0,53050.0,43720.0,53880.0,63380.0,60710.0,66160.0,59070.0,39550.0,58080.0,55690.0
2015-01-01,56520.0,44510.0,75110.0,52250.0,42800.0,63640.0,66600.0,72890.0,57760.0,70070.0,48830.0,50770.0,64510.0,51620.0,60410.0,51980.0,60860.0,54870.0,42390.0,45920.0,50760.0,73590.0,67860.0,54200.0,68730.0,40040.0,59200.0,51400.0,60470.0,52010.0,75680.0,68360.0,45120.0,58010.0,50800.0,57420.0,53300.0,47080.0,60830.0,60390.0,55700.0,46360.0,55070.0,47330.0,56470.0,66260.0,59490.0,61490.0,67240.0,42820.0,55430.0,60930.0
2016-01-01,59040.0,47220.0,75720.0,57100.0,45910.0,66640.0,70570.0,75920.0,58050.0,70980.0,51180.0,53530.0,72130.0,56560.0,61390.0,56090.0,59090.0,56810.0,45370.0,42200.0,50860.0,73760.0,72270.0,57090.0,70220.0,41100.0,55020.0,57080.0,59370.0,55430.0,76260.0,68470.0,48450.0,61440.0,53760.0,60180.0,53990.0,50940.0,59140.0,60980.0,61530.0,54340.0,57450.0,51340.0,58150.0,67480.0,60840.0,66450.0,70310.0,44350.0,59820.0,57830.0
