
DATE,Vacant Housing For Rent
2004-01-01,3936
2004-04-01,3809
2004-07-01,3836
2004-10-01,3773
2005-01-01,3805
2005-04-01,3761
2005-07-01,3818
2005-10-01,3673
2006-01-01,3718
2006-04-01,3710
2006-07-01,3844
2006-10-01,3817
2007-01-01,3992
2007-04-01,3763
2007-07-01,3898
2007-10-01,3867
2008-01-01,4079
2008-04-01,4020
2008-07-01,4018
2008-10-01,4138
2009-01-01,4170
2009-04-01,4415
2009-07-01,4625
2009-10-01,4505
2010-01-01,4451
2010-04-01,4464
2010-07-01,4373
2010-10-01,4003
2011-01-01,4102
2011-04-01,3947
2011-07-01,4240
2011-10-01,4058
2012-01-01,3860
2012-04-01,3766
2012-07-01,3810
2012-10-01,3865
2013-01-01,3803
2013-04-01,3631
2013-07-01,3693
2013-10-01,3651
2014-01-01,3738
2014-04-01,3375
2014-07-01,3373
2014-10-01,3243
2015-01-01,3311
2015-04-01,3207
2015-07-01,3404
2015-10-01,3246
2016-01-01,3282
2016-04-01,3227
2016-07-01,3229
2016-10-01,3231
2017-01-01,3302
2017-04-01,3485
2017-07-01,3568
2017-10-01,3233
2018-01-01,3283
2018-04-01,3204
2018-07-01,3342
2018-10-01,3097
2019-01-01,3315
2019-04-01,3229
2019-07-01,3181
2019-10-01,3000
2020-01-01,3059
2020-04-01,2491
2020-07-01,2864
2020-10-01,3006
2021-01-01,3181
2021-04-01,2920
2021-07-01,2725
2021-10-01,2649.0
2022-01-01,2739.0
2022-04-01,2647.0
2022-07-01,2830.0
2022-10-01,2767.0
2023-01-01,3032.0
2023-04-01,3021.0
2023-07-01,3192.0
2023-10-01,3221.0
2024-01-01,3186.0
2024-04-01,3243.0
2024-07-01,3413.0
