DATE,Vacant Housing For Sale
2004-01-01,1283
2004-04-01,1272
2004-07-01,1333
2004-10-01,1389
2005-01-01,1401
2005-04-01,1384
2005-07-01,1500
2005-10-01,1585
2006-01-01,1593
2006-04-01,1746
2006-07-01,1954
2006-10-01,2121
2007-01-01,2198
2007-04-01,2055
2007-07-01,2093
2007-10-01,2194
2008-01-01,2286
2008-04-01,2175
2008-07-01,2230
2008-10-01,2228
2009-01-01,2123
2009-04-01,1921
2009-07-01,2000
2009-10-01,2100
2010-01-01,2007
2010-04-01,1976
2010-07-01,1950
2010-10-01,2068
2011-01-01,2005
2011-04-01,1959
2011-07-01,1862
2011-10-01,1783
2012-01-01,1653
2012-04-01,1595
2012-07-01,1476
2012-10-01,1499
2013-01-01,1611
2013-04-01,1467
2013-07-01,1478
2013-10-01,1597
2014-01-01,1532
2014-04-01,1435
2014-07-01,1380
2014-10-01,1463
2015-01-01,1424
2015-04-01,1385
2015-07-01,1426
2015-10-01,1452
2016-01-01,1317
2016-04-01,1311
2016-07-01,1359
2016-10-01,1407
2017-01-01,1298
2017-04-01,1205
2017-07-01,1255
2017-10-01,1268
2018-01-01,1167
2018-04-01,1161
2018-07-01,1255
2018-10-01,1183
2019-01-01,1090
2019-04-01,1043
2019-07-01,1177
2019-10-01,1145
2020-01-01,934
2020-04-01,758
2020-07-01,821
2020-10-01,841
2021-01-01,736
2021-04-01,722
2021-07-01,723
2021-10-01,728
2022-01-01,668
2022-04-01,716
2022-07-01,752
2022-10-01,721
2023-01-01,664
2023-04-01,650
2023-07-01,732
2023-10-01,756
2024-01-01,727
2024-04-01,829
2024-07-01,893
