Date of Rate Change,Rate (%)
"Monday, December 1, 1947",1.75
"Sunday, August 1, 1948",2
"Friday, September 22, 1950",2.25
"Monday, January 8, 1951",2.5
"Wednesday, October 17, 1951",2.75
"Wednesday, December 19, 1951",3
"Monday, April 27, 1953",3.25
"Wednesday, March 17, 1954",3
"Thursday, August 4, 1955",3.25
"Friday, October 14, 1955",3.5
"Friday, April 13, 1956",3.75
"Tuesday, August 21, 1956",4
"Tuesday, August 6, 1957",4.5
"Wednesday, January 22, 1958",4
"Monday, April 21, 1958",3.5
"Thursday, September 11, 1958",4
"Monday, May 18, 1959",4.5
"Tuesday, September 1, 1959",5
"Tuesday, August 23, 1960",4.5
"Monday, December 6, 1965",5
"Thursday, March 10, 1966",5.5
"Wednesday, June 29, 1966",5.75
"Tuesday, August 16, 1966",6
"Thursday, January 26, 1967",5.75
"Monday, March 27, 1967",5.5
"Monday, November 20, 1967",6
"Friday, April 19, 1968",6.5
"Wednesday, September 25, 1968",6.25
"Monday, December 2, 1968",6.5
"Wednesday, December 18, 1968",6.75
"Tuesday, January 7, 1969",7
"Monday, March 17, 1969",7.5
"Monday, June 9, 1969",8.5
"Wednesday, March 25, 1970",8
"Monday, September 21, 1970",7.5
"Thursday, November 12, 1970",7.25
"Monday, November 23, 1970",7
"Tuesday, December 22, 1970",6.75
"Wednesday, January 6, 1971",6.5
"Friday, January 15, 1971",6.25
"Monday, January 18, 1971",6
"Tuesday, February 16, 1971",5.75
"Thursday, March 11, 1971",5.5
"Friday, March 19, 1971",5.25
"Friday, April 23, 1971",5.5
"Wednesday, July 7, 1971",6
"Wednesday, October 20, 1971",5.75
"Monday, November 8, 1971",5.5
"Friday, December 17, 1971",5.25
"Monday, January 3, 1972",5
"Tuesday, January 18, 1972",4.75
"Wednesday, February 16, 1972",4.5
"Monday, March 20, 1972",4.75
"Friday, March 31, 1972",5
"Tuesday, June 27, 1972",5.25
"Tuesday, August 29, 1972",5.5
"Tuesday, October 3, 1972",5.75
"Wednesday, December 27, 1972",6
"Tuesday, February 27, 1973",6.25
"Monday, March 26, 1973",6.5
"Thursday, April 19, 1973",6.75
"Monday, May 7, 1973",7
"Friday, May 25, 1973",7.25
